,region,region-nothreshold,regions++
109-250/,0,1,0
110-439/,0,1,1
112-266/,0,7,0
122-436/,0,2,0
148-9/,0,0,1
155-370/,0,29,0
158-7/,0,2,1
175-74/,0,5,0
196-8/,0,9,0
202-75/,0,2,2
203-81/,2,18,2
221-38/,0,3,0
236-65/,0,26,0
25-396/,0,44,0
254-37/,0,1,0
270-333/,0,7,4
277-302/,0,1,0
322-200/,0,9,3
351-79/,0,3,0
357-115/,0,3,0
376-23/,0,1,2
381-15/,1,19,3
384-146/,0,3,3
385-12/,0,2,0
391-76/,0,0,1
399-326/,0,6,0
40-105/,0,19,0
404-147/,0,2,1
406-2/,0,2,0
414-14/,0,0,1
77-218/,0,22,3
86-289/,0,2,0
94-441/,0,29,2
96-288/,0,14,0
