,region,region-nothreshold,regions++
109-250/,0,1,0
110-439/,20,20,23
122-436/,0,9,0
141-379/,4,5,5
148-9/,3,3,4
149-0/,0,1,0
155-370/,7,24,27
158-7/,4,8,5
165-116/,7,9,9
174-80/,3,17,15
175-74/,4,6,5
196-8/,7,10,10
202-75/,3,12,16
203-81/,21,37,37
218-198/,3,8,4
221-38/,2,2,3
236-65/,4,11,9
25-396/,3,23,13
262-39/,10,20,27
270-333/,31,38,44
277-302/,1,8,3
31-398/,0,2,0
322-200/,1,7,4
35-161/,1,1,1
351-79/,20,27,24
355-41/,19,20,21
357-115/,5,10,6
376-23/,4,7,4
381-15/,29,40,43
383-3/,0,1,0
384-146/,41,48,47
385-12/,1,3,1
391-76/,7,8,9
399-326/,0,1,0
40-105/,15,36,37
404-147/,4,4,5
406-2/,7,19,22
414-14/,5,15,12
421-25/,0,1,0
77-218/,26,41,38
86-289/,1,4,1
92-210/,0,1,0
94-441/,13,32,30
96-288/,17,29,34
